Vocabulary,Code,Description
SNOMED,398166005,Performed
SNOMED,371484003,Patient name
SNOMED,405622006,Patient middle name
SNOMED,408676007,Patient preferred name
SNOMED,429086007,Patient alias name
SNOMED,184095009,Patient forename
SNOMED,184096005,Patient surname
SNOMED,184097001,Patient address
SNOMED,424966008,Patient email address
SNOMED,397635003,Address
SNOMED,408576002,Caregiver email address
SNOMED,398095003,Guarantor address
SNOMED,398099009,Street address
SNOMED,408587005,Legal guardian - email address
SNOMED,398198004,Guarantor phone number
SNOMED,184102003,Patient postal code
SNOMED,429524004,Patient facsimile number
SNOMED,184103008,Patient telephone number
SNOMED,428842005,Patient textphone number
SNOMED,429697006,Patient home telephone number
SNOMED,428481002,Patient mobile telephone number
SNOMED,428843000,Patient work telephone number
SNOMED,184099003,Date of birth
SNOMED,399753006,Date of death
SNOMED,398093005,Social Security Number
SNOMED,398225001,Medical record number
SNOMED,394571004,Employer
LOINC,11294-6,Current employment Narrative - Reported
LOINC,11295-3,Current employment - Reported
LOINC,11296-1,ED clinical finding practitioner identifier
LOINC,11298-7,ED consultant practitioner identifier
LOINC,11312-6,ED procedure practitioner identifier
LOINC,11318-3,Ambulance transport agency EMS system
LOINC,11319-1,Ambulance transport unit [Identifier] EMS system
LOINC,11340-7,History of Occupation Narrative
LOINC,11341-5,History of Occupation
LOINC,11503-0,Medical records
LOINC,11513-9,Provider.signing [Identifier] Report
LOINC,11530-3,Surgeon.assisting [Identifier]
LOINC,11531-1,Surgeon.resident [Identifier]
LOINC,11532-9,Surgeon.staff [Identifier]
LOINC,11951-1,Fetal [Identifier] Identifier
LOINC,15514-3,"Ambulance transport, Ordering practitioner identifier type"
LOINC,18581-9,"Ambulance transport, Origination site Address"
LOINC,18583-5,"Ambulance transport, Destination site Address"
LOINC,18694-0,ED consultant practitioner name
LOINC,18700-5,ED practitioner name
LOINC,18705-4,ED referring practitioner name
LOINC,18730-2,"Deprecated Psychiatric rehabilitation treatment plan, Author ID Identifier"
LOINC,18770-8,Dictating practitioner name
LOINC,18771-6,Provider signing name
LOINC,18772-4,Surgeon.resident name
LOINC,18773-2,Surgeon.staff name
LOINC,19111-4,Mother's hospital number
LOINC,19132-0,Mother's name
LOINC,21842-0,Birthplace
LOINC,21851-1,Address at cancer diagnosis
LOINC,21866-9,Patient ID.hospital
LOINC,22018-6,Military patient number
LOINC,22019-4,Death certificate number
LOINC,22020-2,Maiden name
LOINC,22021-0,Institution referred from Cancer registry
LOINC,22022-8,Institution referred to Cancer registry
LOINC,22023-6,Last follow-up hospital [Identifier] Cancer registry
LOINC,22024-4,Following registry [Identifier] Cancer registry
LOINC,22025-1,Physician managing [Identifier]
LOINC,22026-9,Physician follow up [Identifier]
LOINC,22027-7,Surgeon primary [Identifier]
LOINC,22028-5,Physician [Identifier]
LOINC,30947-6,Date form completed
LOINC,31211-6,Date of death
LOINC,39233-2,"Screen test, other name CPHS"
LOINC,39250-6,"Program participation, name CPHS"
LOINC,39268-8,"Follow-up (referred to) provider /specialist, name CPHS"
LOINC,39270-4,"Follow-up (referred to) provider /specialist, address CPHS"
LOINC,39271-2,"Follow-up (referred to) provider /specialist, phone CPHS"
LOINC,39275-3,"Follow-up (referred to) program, name CPHS"
LOINC,39276-1,"Follow-up (referred to) program, address CPHS"
LOINC,39277-9,"Follow-up (referred to) program, phone CPHS"
LOINC,39281-1,"Responsible party, name CPHS"
LOINC,39282-9,"Responsible party, home phone number CPHS"
LOINC,39284-5,Patient escort information panel
LOINC,39285-2,Escort Name
LOINC,39286-0,Escort Relationship to patient
LOINC,42077-8,Patient phone number
LOINC,42106-5,Archive facility identification number Cancer
LOINC,42127-1,Name of follow-up contact
LOINC,44780-5,Organ donor ID number Narrative
LOINC,44951-2,Physician NPI [Identifier]
LOINC,44952-0,Surgeon primary NPI [Identifier] Provider
LOINC,44953-8,Physician follow up NPI [Identifier]
LOINC,44954-6,Physician managing NPI [Identifier]
LOINC,44955-3,Archive facility identification number NPI Cancer
LOINC,44956-1,Following registry NPI [Identifier] Cancer registry
LOINC,44957-9,Institution referred to NPI Cancer registry
LOINC,44958-7,Institution referred from NPI Cancer registry
LOINC,44959-5,Hospital.reporting NPI [Identifier] Cancer
LOINC,44960-3,Institution data source NPI Registry message
LOINC,45250-8,HIV confirmation facility Address
LOINC,45253-2,HIV treatment prior clinic transferred from Address
LOINC,45255-7,HIV treatment clinic transferred to Address
LOINC,45392-8,First (Given) name
LOINC,45392-8,First name
LOINC,45393-6,Middle initial
LOINC,45394-4,Last (Family) name
LOINC,45394-4,Last name
LOINC,45395-1,Name suffix
LOINC,45396-9,Social Security number [Identifier]
LOINC,45397-7,Medicare or comparable number
LOINC,45398-5,State provider number for Facility
LOINC,45400-9,Medicaid number
LOINC,45401-7,Postal code [Location]
LOINC,45402-5,Language.primary
LOINC,45403-3,Room number [Location]
LOINC,45404-1,Marital status
LOINC,45965-1,Name Set
LOINC,45966-9,Social Security and Medicare numbers
LOINC,46098-0,Sex
LOINC,46106-1,Medical record number [Identifier]
LOINC,46446-1,Record ID section Set NAACCR v.11
LOINC,46463-6,Race or ethnicity
LOINC,46496-6,Agency patient number [CMS Assessment]
LOINC,46499-0,State of residence
LOINC,46503-9,Deprecated Most recent inpatient discharge date [OASIS]
LOINC,46582-3,"Discharge, transfer, death date [CMS Assessment]"
LOINC,49089-6,Sonographer [Identifier]
LOINC,52010-6,"Ambulance transport, Other patient name"
LOINC,52011-4,"Ambulance transport, Other patient identifier"
LOINC,52014-8,"Ambulance transport, Receiving individual accepting responsibility for patient Identifier"
LOINC,52023-9,"Ambulance transport, Origination site name and address"
LOINC,52026-2,"Ambulance transport, Destination site name and address"
LOINC,52037-9,Member ID card copy
LOINC,52069-2,Tax ID number - IRS form W9
LOINC,52455-3,Admission date
LOINC,52460-3,Patient Information
LOINC,52461-1,Middle name
LOINC,52462-9,Nickname
LOINC,52463-7,Patient Identification Number or Provider Account Number
LOINC,52525-3,Discharge date
LOINC,52526-1,Attending physician name
LOINC,52532-9,Provider state
LOINC,52539-4,Prior postal code [Location]
